TYPE;WORD_1;WORD_ORDER;COLOR_1;COLOR_ORDER;TYPE_CATEGORY;STRATEGY
ENFJ;chill;WORD_1;pastel green;COLOR_1;diplomat;feeling
ENTP;bold;WORD_1;orange;COLOR_1;analyst;thinking
INFP;powerful;WORD_1;lilac;COLOR_1;diplomat;feeling
INTP;focused;WORD_1;neon green;COLOR_1;analyst;thinking
INFJ;comforting;WORD_1;pastel green;COLOR_1;diplomat;feeling
ISTP;comforting;WORD_1;pastel green;COLOR_1;explorer;thinking
ENFP;wistful;WORD_1;blue;COLOR_1;diplomat;feeling
INFP;wistful;WORD_1;blue;COLOR_1;diplomat;feeling
INFJ;wistful;WORD_1;blue;COLOR_1;diplomat;feeling
INTP;euphoric;WORD_1;lilac;COLOR_1;analyst;thinking
INTP;focused;WORD_1;neon green;COLOR_1;analyst;thinking
ENFP;energy;WORD_1;lilac;COLOR_1;diplomat;feeling
INFP;mystical;WORD_1;pastel green;COLOR_1;diplomat;feeling
INFJ;energy;WORD_1;lilac;COLOR_1;diplomat;feeling
ENTP;wistful;WORD_1;blue;COLOR_1;analyst;thinking
ISTJ;wistful;WORD_1;blue;COLOR_1;sentinel;thinking
INTP;focused;WORD_1;neon green;COLOR_1;analyst;thinking
INTJ;happy;WORD_1;lilac;COLOR_1;analyst;thinking
ENTP;bold;WORD_1;orange;COLOR_1;analyst;thinking
INTP;bold;WORD_1;orange;COLOR_1;analyst;thinking
INFJ;comforting;WORD_1;pastel green;COLOR_1;diplomat;feeling
INFJ;melancholy;WORD_1;blue;COLOR_1;diplomat;feeling
INTJ;energetic;WORD_1;orange;COLOR_1;analyst;thinking
INFP;comforting;WORD_1;pastel green;COLOR_1;diplomat;feeling
INTP;wistful;WORD_1;blue;COLOR_1;analyst;thinking
ENFP;mystical;WORD_1;pastel green;COLOR_1;diplomat;feeling
INFJ;affectionate;WORD_1;lilac;COLOR_1;diplomat;feeling
INFJ;motivated;WORD_1;lilac;COLOR_1;diplomat;feeling
ISTP;longing;WORD_1;blue;COLOR_1;explorer;thinking
INFJ;happy;WORD_1;lilac;COLOR_1;diplomat;feeling
ENFP;healing;WORD_1;pastel green;COLOR_1;diplomat;feeling
ENFP;wistful;WORD_1;blue;COLOR_1;diplomat;feeling
ENTJ;confident;WORD_1;lilac;COLOR_1;analyst;thinking
INTP;comforting;WORD_1;pastel green;COLOR_1;analyst;thinking
ENTP;focused;WORD_1;neon green;COLOR_1;analyst;thinking
ENFP;comforting;WORD_1;pastel green;COLOR_1;diplomat;feeling
INTJ;yearning;WORD_1;pink;COLOR_1;analyst;thinking
ENFJ;confident;WORD_1;lilac;COLOR_1;diplomat;feeling
INFP;soft;WORD_1;pastel green;COLOR_1;diplomat;feeling
ENFP;yearning;WORD_1;pink;COLOR_1;diplomat;feeling
ENTP;wistful;WORD_1;blue;COLOR_1;analyst;thinking
INTJ;confident;WORD_1;lilac;COLOR_1;analyst;thinking
ENTP;chill;WORD_1;pastel green;COLOR_1;analyst;thinking
ISTP;confident;WORD_1;lilac;COLOR_1;explorer;thinking
ENFP;chill;WORD_1;pastel green;COLOR_1;diplomat;feeling
INFP;chill;WORD_1;pastel green;COLOR_1;diplomat;feeling
INTP;angst;WORD_1;blue;COLOR_1;analyst;thinking
ENTP;soft;WORD_1;pastel green;COLOR_1;analyst;thinking
ENTP;powerful;WORD_1;lilac;COLOR_1;analyst;thinking
INFP;bold;WORD_1;orange;COLOR_1;diplomat;feeling
INTJ;energy;WORD_1;lilac;COLOR_1;analyst;thinking
ENFP;bold;WORD_1;orange;COLOR_1;diplomat;feeling
ISTP;melancholy;WORD_1;blue;COLOR_1;explorer;thinking
INTP;happy;WORD_1;lilac;COLOR_1;analyst;thinking
ISFP;confident;WORD_1;lilac;COLOR_1;explorer;feeling
INTJ;happy;WORD_1;lilac;COLOR_1;analyst;thinking
INFP;kindness;WORD_1;lilac;COLOR_1;diplomat;feeling
ESTP;hype;WORD_1;lilac;COLOR_1;explorer;thinking
INFP;wistful;WORD_1;blue;COLOR_1;diplomat;feeling
INFP;happy;WORD_1;lilac;COLOR_1;diplomat;feeling
ENTJ;bold;WORD_1;orange;COLOR_1;analyst;thinking
ENFP;yearning;WORD_1;pink;COLOR_1;diplomat;feeling
INFJ;healing;WORD_1;pastel green;COLOR_1;diplomat;feeling
ENTP;bold;WORD_1;orange;COLOR_1;analyst;thinking
INFP;wistful;WORD_1;blue;COLOR_1;diplomat;feeling
INTP;angst;WORD_1;blue;COLOR_1;analyst;thinking
INTJ;bold;WORD_1;orange;COLOR_1;analyst;thinking
INTP;powerful;WORD_1;lilac;COLOR_1;analyst;thinking
INTJ;melancholy;WORD_1;blue;COLOR_1;analyst;thinking
ENTP;bold;WORD_1;orange;COLOR_1;analyst;thinking
INFP;wistful;WORD_1;blue;COLOR_1;diplomat;feeling
ENFP;wistful;WORD_1;blue;COLOR_1;diplomat;feeling
ISTP;angst;WORD_1;blue;COLOR_1;explorer;thinking
INFP;bold;WORD_1;orange;COLOR_1;diplomat;feeling
INTP;dramatic;WORD_1;neon green;COLOR_1;analyst;thinking
ENTJ;confident;WORD_1;lilac;COLOR_1;analyst;thinking
INFP;kindness;WORD_1;lilac;COLOR_1;diplomat;feeling
ENTP;energetic;WORD_1;orange;COLOR_1;analyst;thinking
INFJ;melancholy;WORD_1;blue;COLOR_1;diplomat;feeling
INFP;powerful;WORD_1;lilac;COLOR_1;diplomat;feeling
ENTP;bold;WORD_1;orange;COLOR_1;analyst;thinking
ENTJ;energy;WORD_1;lilac;COLOR_1;analyst;thinking
ENTP;wistful;WORD_1;blue;COLOR_1;analyst;thinking
INTJ;focused;WORD_1;neon green;COLOR_1;analyst;thinking
INTJ;confident;WORD_1;lilac;COLOR_1;analyst;thinking
ISTJ;happy;WORD_1;lilac;COLOR_1;sentinel;thinking
ENTP;confident;WORD_1;lilac;COLOR_1;analyst;thinking
ENFP;confident;WORD_1;lilac;COLOR_1;diplomat;feeling
ENFP;euphoric;WORD_1;lilac;COLOR_1;diplomat;feeling
INTP;wistful;WORD_1;blue;COLOR_1;analyst;thinking
INTP;inspirational;WORD_1;pink;COLOR_1;analyst;thinking
ISTJ;healing;WORD_1;pastel green;COLOR_1;sentinel;thinking
INFJ;happy;WORD_1;lilac;COLOR_1;diplomat;feeling
ESTP;mellow;WORD_1;pastel green;COLOR_1;explorer;thinking
INFJ;bold;WORD_1;orange;COLOR_1;diplomat;feeling
ENTJ;bold;WORD_1;orange;COLOR_1;analyst;thinking
INFP;empath;WORD_1;blue;COLOR_1;diplomat;feeling
ENFP;angst;WORD_1;blue;COLOR_1;diplomat;feeling
INFJ;wistful;WORD_1;blue;COLOR_1;diplomat;feeling
ENFP;wistful;WORD_1;blue;COLOR_1;diplomat;feeling
INFJ;empath;WORD_1;blue;COLOR_1;diplomat;feeling
INFP;wistful;WORD_1;blue;COLOR_1;diplomat;feeling
INTJ;bold;WORD_1;orange;COLOR_1;analyst;thinking
INFP;wistful;WORD_1;blue;COLOR_1;diplomat;feeling
INTJ;confident;WORD_1;lilac;COLOR_1;analyst;thinking
INTP;bold;WORD_2;orange;COLOR_2;analyst;thinking
ISTP;empowering;WORD_2;pink;COLOR_2;explorer;thinking
ENFJ;bold;WORD_2;orange;COLOR_2;diplomat;feeling
ISTP;hopeful;WORD_2;pink;COLOR_2;explorer;thinking
ENFP;bold;WORD_2;orange;COLOR_2;diplomat;feeling
ENFP;comforting;WORD_2;pastel green;COLOR_2;diplomat;feeling
ISTP;bold;WORD_2;orange;COLOR_2;explorer;thinking
INTP;melancholy;WORD_2;blue;COLOR_2;analyst;thinking
INTJ;bold;WORD_2;orange;COLOR_2;analyst;thinking
INFJ;wistful;WORD_2;lilac;COLOR_2;diplomat;feeling
INTP;bold;WORD_2;orange;COLOR_2;analyst;thinking
INFP;bold;WORD_2;orange;COLOR_2;diplomat;feeling
ENFJ;romantic;WORD_2;pink;COLOR_2;diplomat;feeling
INFJ;bold;WORD_2;orange;COLOR_2;diplomat;feeling
INTJ;bold;WORD_2;orange;COLOR_2;analyst;thinking
INTP;bold;WORD_2;orange;COLOR_2;analyst;thinking
ENTP;comforting;WORD_2;pastel green;COLOR_2;analyst;thinking
ENTP;yearning;WORD_2;pink;COLOR_2;analyst;thinking
ENTJ;melancholy;WORD_2;blue;COLOR_2;analyst;thinking
ESTP;hype;WORD_2;lilac;COLOR_2;explorer;thinking
ENTP;angst;WORD_2;blue;COLOR_2;analyst;thinking
INFP;comforting;WORD_2;pastel green;COLOR_2;diplomat;feeling
ENFP;nostalgia;WORD_2;pink;COLOR_2;diplomat;feeling
INTJ;wistful;WORD_2;blue;COLOR_2;analyst;thinking
INTP;happy;WORD_2;lilac;COLOR_2;analyst;thinking
INFJ;powerful;WORD_2;lilac;COLOR_2;diplomat;feeling
INTP;chill;WORD_2;pastel green;COLOR_2;analyst;thinking
INFJ;chill;WORD_2;pastel green;COLOR_2;diplomat;feeling
ENTP;angst;WORD_2;blue;COLOR_2;analyst;thinking
INFJ;empowering;WORD_2;pink;COLOR_2;diplomat;feeling
INFP;wistful;WORD_2;blue;COLOR_2;diplomat;feeling
INFJ;nervous;WORD_2;neon green;COLOR_2;diplomat;feeling
INFP;angst;WORD_2;blue;COLOR_2;diplomat;feeling
ENTJ;bold;WORD_2;orange;COLOR_2;analyst;thinking
INFJ;bold;WORD_2;orange;COLOR_2;diplomat;feeling
ENFP;melancholy;WORD_2;blue;COLOR_2;diplomat;feeling
INFP;powerful;WORD_2;lilac;COLOR_2;diplomat;feeling
ENTP;wistful;WORD_2;blue;COLOR_2;analyst;thinking
INTJ;spooky;WORD_2;neon green;COLOR_2;analyst;thinking
INFJ;soft;WORD_2;pastel green;COLOR_2;diplomat;feeling
ENTJ;confident;WORD_2;lilac;COLOR_2;analyst;thinking
INTJ;motivation;WORD_2;lilac;COLOR_2;analyst;thinking
ISFP;nostalgia;WORD_2;pink;COLOR_2;explorer;feeling
ESTJ;focused;WORD_2;neon green;COLOR_2;sentinel;thinking
INFJ;soft;WORD_2;pastel green;COLOR_2;diplomat;feeling
INFJ;comforting;WORD_2;pastel green;COLOR_2;diplomat;feeling
INTJ;bold;WORD_2;orange;COLOR_2;analyst;thinking
INFJ;romantic;WORD_2;pink;COLOR_2;diplomat;feeling
ENTP;angst;WORD_2;blue;COLOR_2;analyst;thinking
ENTP;confident;WORD_2;lilac;COLOR_2;analyst;thinking
ENFP;bold;WORD_2;orange;COLOR_2;diplomat;feeling
INTP;focused;WORD_2;neon green;COLOR_2;analyst;thinking
INTP;comforting;WORD_2;pastel green;COLOR_2;analyst;thinking
INFP;melancholy;WORD_2;blue;COLOR_2;diplomat;feeling
ENTP;confident;WORD_2;lilac;COLOR_2;analyst;thinking
INTP;affectionate;WORD_2;lilac;COLOR_2;analyst;thinking
ENTP;spooky;WORD_2;neon green;COLOR_2;analyst;thinking
INFJ;powerful;WORD_2;lilac;COLOR_2;diplomat;feeling
ENTP;yearning;WORD_2;pink;COLOR_2;analyst;thinking
ENFJ;wistful;WORD_2;blue;COLOR_2;diplomat;feeling
ISTP;wistful;WORD_2;blue;COLOR_2;explorer;thinking
ISTP;bold;WORD_2;orange;COLOR_2;explorer;thinking
ENTP;spooky;WORD_2;neon green;COLOR_2;analyst;thinking
INFJ;focused;WORD_2;neon green;COLOR_2;diplomat;feeling
ENTP;wistful;WORD_2;blue;COLOR_2;analyst;thinking
INTP;wistful;WORD_2;blue;COLOR_2;analyst;thinking
ENTP;focused;WORD_2;neon green;COLOR_2;analyst;thinking
ENTP;romantic;WORD_2;pink;COLOR_2;analyst;thinking
ESTJ;confident;WORD_2;lilac;COLOR_2;sentinel;thinking
ESFP;wistful;WORD_2;blue;COLOR_2;explorer;feeling
ENTP;yearning;WORD_2;pink;COLOR_2;analyst;thinking
INTP;energetic;WORD_2;orange;COLOR_2;analyst;thinking
ENFP;soft;WORD_2;pastel green;COLOR_2;diplomat;feeling
ENTP;dramatic;WORD_2;neon green;COLOR_2;analyst;thinking
INTP;yearning;WORD_2;pink;COLOR_2;analyst;thinking
ENTJ;bold;WORD_2;orange;COLOR_2;analyst;thinking
ENFP;yearning;WORD_2;pink;COLOR_2;diplomat;feeling
INTP;bold;WORD_2;orange;COLOR_2;analyst;thinking
INFP;euphoric;WORD_2;lilac;COLOR_2;diplomat;feeling
ESTJ;dramatic;WORD_2;neon green;COLOR_2;sentinel;thinking
ENTP;empowering;WORD_2;pink;COLOR_2;analyst;thinking
INFP;bold;WORD_2;orange;COLOR_2;diplomat;feeling
ISTP;bold;WORD_2;orange;COLOR_2;explorer;thinking
ENTP;energy;WORD_2;lilac;COLOR_2;analyst;thinking
ENTP;bold;WORD_2;orange;COLOR_2;analyst;thinking
ENFJ;focused;WORD_2;neon green;COLOR_2;diplomat;feeling
ENTP;angst;WORD_2;blue;COLOR_2;analyst;thinking
INFP;bold;WORD_2;orange;COLOR_2;diplomat;feeling
INTP;comforting;WORD_2;pastel green;COLOR_2;analyst;thinking
INFJ;wistful;WORD_2;blue;COLOR_2;diplomat;feeling
ISTP;joy;WORD_2;lilac;COLOR_2;explorer;thinking
ENFP;joy;WORD_2;lilac;COLOR_2;diplomat;feeling
INFP;comforting;WORD_2;pastel green;COLOR_2;diplomat;feeling
INFJ;confident;WORD_2;lilac;COLOR_2;diplomat;feeling
INTP;comforting;WORD_2;pastel green;COLOR_2;analyst;thinking
INTP;bold;WORD_2;orange;COLOR_2;analyst;thinking
ENFP;bold;WORD_2;orange;COLOR_2;diplomat;feeling
INFP;kindness;WORD_2;lilac;COLOR_2;diplomat;feeling
INFJ;bold;WORD_2;orange;COLOR_2;diplomat;feeling
ENTP;bold;WORD_2;orange;COLOR_2;analyst;thinking
ISTJ;focused;WORD_2;neon green;COLOR_2;sentinel;thinking
INTP;wistful;WORD_2;blue;COLOR_2;analyst;thinking
INTJ;empowering;WORD_2;pink;COLOR_2;analyst;thinking
ENTP;happy;WORD_2;blue;COLOR_2;analyst;thinking
INTP;focused;WORD_2;neon green;COLOR_2;analyst;thinking
INFJ;wistful;WORD_2;blue;COLOR_2;diplomat;feeling
INFJ;focused;WORD_2;neon green;COLOR_2;diplomat;feeling
INTJ;hype;WORD_2;lilac;COLOR_2;analyst;thinking
INFP;wistful;WORD_2;blue;COLOR_2;diplomat;feeling
INTP;romantic;WORD_2;pink;COLOR_2;analyst;thinking
ENFP;wistful;WORD_2;blue;COLOR_2;diplomat;feeling
INFJ;bold;WORD_2;orange;COLOR_2;diplomat;feeling
INFJ;angst;WORD_2;blue;COLOR_2;diplomat;feeling
ISTP;focused;WORD_2;neon green;COLOR_2;explorer;thinking
INFJ;romantic;WORD_2;pink;COLOR_2;diplomat;feeling
ENFP;wistful;WORD_2;blue;COLOR_2;diplomat;feeling
ENFP;innovative;WORD_2;pink;COLOR_2;diplomat;feeling
ENTJ;bold;WORD_2;orange;COLOR_2;analyst;thinking
INTP;melancholy;WORD_2;blue;COLOR_2;analyst;thinking
ENTP;bold;WORD_2;orange;COLOR_2;analyst;thinking
ENFP;energetic;WORD_2;orange;COLOR_2;diplomat;feeling
INTJ;comforting;WORD_2;pastel green;COLOR_2;analyst;thinking
ENFJ;chill;WORD_2;pastel green;COLOR_2;diplomat;feeling
INFP;energetic;WORD_2;orange;COLOR_2;diplomat;feeling
ENFP;spooky;WORD_2;neon green;COLOR_2;diplomat;feeling
ENTP;kindness;WORD_2;lilac;COLOR_2;analyst;thinking
INTJ;bold;WORD_2;orange;COLOR_2;analyst;thinking
ENTP;bold;WORD_2;orange;COLOR_2;analyst;thinking
ISTP;bold;WORD_2;orange;COLOR_2;explorer;thinking
ENFP;joy;WORD_2;lilac;COLOR_2;diplomat;feeling
INFP;wistful;WORD_2;blue;COLOR_2;diplomat;feeling
INTP;bold;WORD_2;orange;COLOR_2;analyst;thinking
ENTP;empath;WORD_2;blue;COLOR_2;analyst;thinking
ENTP;focused;WORD_2;neon green;COLOR_2;analyst;thinking
INFP;focused;WORD_2;neon green;COLOR_2;diplomat;feeling
INTJ;bold;WORD_2;orange;COLOR_2;analyst;thinking
ENFP;focused;WORD_2;neon green;COLOR_2;diplomat;feeling
ISTP;focused;WORD_2;neon green;COLOR_2;explorer;thinking
INTP;comforting;WORD_2;pastel green;COLOR_2;analyst;thinking
ISFP;comforting;WORD_2;pastel green;COLOR_2;explorer;feeling
INTJ;chill;WORD_2;pastel green;COLOR_2;analyst;thinking
INFP;wistful;WORD_2;blue;COLOR_2;diplomat;feeling
ESTP;bold;WORD_2;orange;COLOR_2;explorer;thinking
INFP;focused;WORD_2;neon green;COLOR_2;diplomat;feeling
INFP;focused;WORD_2;neon green;COLOR_2;diplomat;feeling
ENTJ;confident;WORD_2;lilac;COLOR_2;analyst;thinking
ENFP;wistful;WORD_2;blue;COLOR_2;diplomat;feeling
INFJ;wistful;WORD_2;blue;COLOR_2;diplomat;feeling
ENTP;focused;WORD_2;neon green;COLOR_2;analyst;thinking
INFP;spooky;WORD_2;neon green;COLOR_2;diplomat;feeling
INTP;bold;WORD_2;orange;COLOR_2;analyst;thinking
INTJ;powerful;WORD_2;lilac;COLOR_2;analyst;thinking
INTP;focused;WORD_2;neon green;COLOR_2;analyst;thinking
INTJ;chill;WORD_2;pastel green;COLOR_2;analyst;thinking
ENTP;confident;WORD_2;lilac;COLOR_2;analyst;thinking
INFP;happy;WORD_2;lilac;COLOR_2;diplomat;feeling
ENFP;comforting;WORD_2;pastel green;COLOR_2;diplomat;feeling
ISTP;evasion;WORD_2;neon green;COLOR_2;explorer;thinking
INFP;angst;WORD_2;blue;COLOR_2;diplomat;feeling
INTP;confident;WORD_2;lilac;COLOR_2;analyst;thinking
ENTJ;bold;WORD_2;orange;COLOR_2;analyst;thinking
INFP;spooky;WORD_2;neon green;COLOR_2;diplomat;feeling
ENTP;nervous;WORD_2;neon green;COLOR_2;analyst;thinking
INFJ;soft;WORD_2;pastel green;COLOR_2;diplomat;feeling
INFP;bold;WORD_2;orange;COLOR_2;diplomat;feeling
ENTP;focused;WORD_2;neon green;COLOR_2;analyst;thinking
ENTJ;bold;WORD_2;orange;COLOR_2;analyst;thinking
ENTP;bold;WORD_2;orange;COLOR_2;analyst;thinking
INTJ;powerful;WORD_2;lilac;COLOR_2;analyst;thinking
INTJ;bold;WORD_2;orange;COLOR_2;analyst;thinking
ISTJ;bold;WORD_2;orange;COLOR_2;sentinel;thinking
ENTP;bold;WORD_2;orange;COLOR_2;analyst;thinking
ENFP;bold;WORD_2;orange;COLOR_2;diplomat;feeling
ENFP;focused;WORD_2;neon green;COLOR_2;diplomat;feeling
INTP;comforting;WORD_2;pastel green;COLOR_2;analyst;thinking
INTP;bold;WORD_2;orange;COLOR_2;analyst;thinking
ISTJ;focused;WORD_2;neon green;COLOR_2;sentinel;thinking
INFJ;hopeful;WORD_2;pink;COLOR_2;diplomat;feeling
ESTP;confused;WORD_2;neon green;COLOR_2;explorer;thinking
INFJ;angst;WORD_2;blue;COLOR_2;diplomat;feeling
ENTJ;focused;WORD_2;neon green;COLOR_2;analyst;thinking
INFP;soft;WORD_2;pastel green;COLOR_2;diplomat;feeling
ENFP;comforting;WORD_2;pastel green;COLOR_2;diplomat;feeling
INFJ;comforting;WORD_2;pastel green;COLOR_2;diplomat;feeling
ENFP;confident;WORD_2;lilac;COLOR_2;diplomat;feeling
INFJ;comforting;WORD_2;pastel green;COLOR_2;diplomat;feeling
INFP;chill;WORD_2;pastel green;COLOR_2;diplomat;feeling
INTJ;angst;WORD_2;blue;COLOR_2;analyst;thinking
INFP;mystical;WORD_2;pastel green;COLOR_2;diplomat;feeling
INTJ;focused;WORD_2;neon green;COLOR_2;analyst;thinking
